Ñ§ºÅ,¿Î³Ì±àºÅ,³É¼¨
2022001,2070110059,89
2022001,2070310013,77
2022001,2100010021,66
2022001,2100010043,90
2022001,2120020023,83
2022001,2060130041,82
2022001,2060130053,91
2022001,2060130061,93
2022001,2060130073,89
2022001,2060131341,90
2022002,2070110059,87
2022002,2070310013,93
2022002,2100010021,91
2022002,2100010043,89
2022002,2120020023,94
2022002,2060130041,95
2022002,2060130053,92
2022002,2060130061,90
2022002,2060130073,88
2022002,2060130083,94
2022002,2060121231,91
2022002,2060120023,78
2022003,2060130073,57
2022003,2060131341,92
2022003,2020520013,85
2022003,2060140323,95
2022003,2060140361,79
2022003,2070150031,P
2022004,2070110059,100
2022004,2070310013,95
2022004,2100010021,90
2022004,2100010043,88
2022004,2120020023,80
2022004,2060130041,89
2022004,2060130053,91
2022004,2060130061,93
2022004,2060130073,83
2022004,2060131341,88
2022004,2020520013,59
2022005,2070110059,76
2022005,2070310013,88
2022005,2060130053,80
2022005,2060130061,67
2022005,2060130073,85
2022005,2060140361,90
2022005,2060140373,87
2022005,2070150031,F
2022006,2060330253,92
2022006,2060240581,87
2022006,2070340081,P
2022006,2060140373,88
2022006,2060140451,90
2022007,2070110059,92
2022007,2070310013,91
2022007,2120020023,83
2022007,2060130053,79
2022007,2060130061,88
2022007,2060130073,92
2022007,2060131341,93
2022007,2070350031,P
2022007,2060120023,85
2022007,2060140323,90
2022007,2060140341,91
2022008,2070110059,89
2022008,2070310013,82
2022008,2120020023,97
2022008,2060130053,92
2022008,2060130061,100
2022008,2060130073,99
2022008,2060131341,70
2022008,2070350031,F
2022008,2060120023,77
2022008,2060140323,87
2022008,2060140341,92
2022009,2070110059,89
2022009,2070310013,93
2022009,2120020023,93
2022009,2060130053,90
2022009,2060130061,85
2022009,2060130073,89
2022009,2060131341,90
2022009,2070350031,P
2022009,2060120023,96
2022009,2060140323,89
2022009,2060140341,87
2022010,2070110059,92
2022010,2070310013,93
2022010,2100010021,87
2022010,2100010043,84
2022010,2120020023,83
2022010,2060130041,98
2022010,2060130053,76
2022010,2060130061,94
2022010,2060130073,95
2022010,2060131341,88
2022010,2020520013,86
2022010,2060330213,90
2022011,2070110059,95
2022011,2070310013,79
2022011,2100010021,88
2022011,2100010043,84
2022011,2120020023,83
2022011,2060130041,98
2022011,2060130053,80
2022011,2060130061,94
2022011,2060130073,95
2022011,2060131341,88
2022011,2020520013,85
2022011,2060330213,92
2022012,2070110059,92
2022012,2070310013,90
2022012,2120020023,53
2022012,2060130083,57
2022013,2070110059,89
2022013,2070310013,86
2022013,2100010021,90
2022013,2100010043,81
2022013,2120020023,92
2022013,2060130041,92
2022013,2060130053,95
2022013,2060130061,89
2022013,2060130073,88
2022013,2060131341,94
2022013,2060140373,91
2022013,2060140451,87
2022013,2060141131,92
2022013,2070150031,P
2022014,2070110059,90
2022014,2070310013,93
2022014,2100010021,89
2022014,2100010043,78
2022014,2120020023,81
2022014,2060130041,91
2022014,2060130053,90
2022014,2060130061,84
2022014,2060130073,85
2022014,2060131341,93
2022014,2060140373,91
2022014,2060140451,93
2022014,2060141131,97
2022015,2070110059,98
2022015,2070310013,97
2022015,2100010021,93
2022015,2100010043,95
2022015,2120020023,90
2022015,2060130041,91
2022015,2060130053,94
2022015,2060130061,95
2022015,2060130073,96
2022015,2060131341,91
2022015,2060121231,91
2022015,2060120023,94
2022015,2060140361,90
2022015,2060140373,98
2022016,2070110059,89
2022016,2070310013,90
2022016,2120020023,94
2022016,2060130041,87
2022016,2060130061,92
2022016,2060130073,93
2022016,2060131341,94
2022016,2060140403,92
2022017,2070110059,95
2022017,2070310013,91
2022017,2120020023,95
2022017,2060130041,88
2022017,2060130061,91
2022017,2060130073,94
2022017,2060131341,93
2022017,2060140403,93
2022018,2070110059,89
2022018,2070310013,91
2022018,2120020023,88
2022018,2060130041,90
2022018,2060130061,91
2022018,2060130073,92
2022018,2060131341,85
2022018,2060140403,86
2022019,2070110059,92
2022019,2070310013,91
2022019,2120020023,90
2022019,2060130041,95
2022019,2060130061,91
2022019,2060130073,90
2022019,2060131341,95
2022019,2060140403,97
2022020,2070110059,93
2022020,2070310013,90
2022020,2120020023,88
2022020,2060130041,89
2022020,2060130061,90
2022020,2060130073,92
2022020,2060131341,85
2022020,2060140403,95
2022021,2070110059,90
2022021,2070310013,81
2022021,2120020023,85
2022021,2060130041,92
2022021,2060130061,87
2022021,2060130073,92
2022021,2060131341,88
2022021,2060140403,93
2022022,2070110059,93
2022022,2070310013,90
2022022,2120020023,88
2022022,2060130041,92
2022022,2060130061,87
2022022,2060130073,89
2022022,2060131341,95
2022022,2060140403,93
2022023,2070110059,90
2022023,2070310013,87
2022023,2100010021,88
2022023,2100010043,93
2022023,2120020023,92
2022023,2060130041,86
2022023,2060131341,94
2022023,2060140373,87
2022023,2060121231,89
2022023,2060330253,91
2022023,2060330193,90
2022023,2060330203,92
2022023,2060330213,95
2022024,2070110059,83
2022024,2070310013,87
2022024,2100010021,88
2022024,2100010043,81
2022024,2120020023,89
2022024,2060140373,77
2022024,2060121231,82
2022024,2060330253,85
2022024,2060330193,88
2022024,2060330203,82
2022024,2060330213,78
2022025,2070110059,83
2022025,2070310013,90
2022025,2100010021,94
2022025,2100010043,91
2022025,2120020023,89
2022025,2060140373,95
2022025,2060121231,92
2022025,2060330253,89
2022025,2060330193,88
2022025,2060330203,90
2022025,2060330213,88
2022026,2070110059,85
2022026,2070310013,91
2022026,2100010021,92
2022026,2100010043,88
2022026,2120020023,89
2022026,2060140373,94
2022026,2060121231,89
2022026,2060330253,87
2022026,2060330193,90
2022026,2060330203,92
2022026,2060330213,89
2022027,2070110059,84
2022027,2070310013,89
2022027,2100010021,85
2022027,2100010043,82
2022027,2120020023,77
2022027,2060140373,79
2022027,2060121231,81
2022027,2060330253,87
2022027,2060330193,88
2022027,2060330203,86
2022027,2060330213,90
2022028,2070110059,84
2022028,2070310013,90
2022028,2100010021,85
2022028,2100010043,82
2022028,2120020023,87
2022028,2060140373,88
2022028,2060121231,93
2022028,2060330253,87
2022028,2060330193,92
2022028,2060330203,96
2022028,2060330213,90
